-1.739388	-1.755629
-1.274755	-2.017932
-4.308226	-3.674670
-2.869573	-2.686732
-4.261544	-4.675696
-2.892314	-3.460462
-2.008666	-2.494398
-2.696944	-3.202552
-3.589174	-3.368665
-4.847776	-6.014926
-8.308097	-6.235927
-4.498226	-4.688014
-4.365778	-4.022294
-0.438210	-0.844262
-0.884937	-0.930722
-1.140966	-1.476812
-0.940731	-1.151170
-1.996163	-1.806769
-1.069781	-1.406206
-1.465228	-1.087774
-1.982411	-1.321194
-1.585814	-1.375948
-1.476308	-2.248203
-1.202041	-2.321049
-1.249072	-1.810829
-0.787022	-1.591395
-0.783611	-1.047570
-1.005255	-1.173257
-1.958743	-1.967110
-1.419798	-1.493723
-2.633494	-2.446769
-1.550967	-1.864469
-1.618820	-1.401563
-2.156859	-1.740887
-2.111920	-1.820483
-2.326932	-3.088483
-2.788620	-3.194379
-2.093619	-2.452671
-1.843235	-2.133680
-1.012997	-1.267123
-0.747463	-1.435171
-3.041712	-2.496585
-2.286288	-1.863648
-3.698507	-3.137908
-2.197330	-2.359350
-2.152864	-1.740426
-3.006734	-2.194116
-3.095050	-2.300539
-3.195405	-3.995906
-5.077765	-4.137493
-3.407935	-3.145799
-3.077957	-2.719296
-3.408421	-3.807198
-3.726264	-4.465340
-10.115161	-8.622246
-5.224800	-6.143419
-11.542019	-11.133911
-7.438613	-8.084779
-5.538791	-5.660835
-7.402865	-7.437659
-8.333452	-7.854452
-12.119253	-14.494161
-16.550443	-15.048673
-12.853072	-11.164818
-7.957369	-9.494465
-1.662492	-1.870240
-2.291403	-2.154656
-4.209343	-3.951066
-3.528038	-2.879840
-5.513285	-5.036484
-3.806141	-3.718799
-2.476668	-2.671290
-3.897180	-3.439146
-4.501231	-3.619263
-4.672780	-6.488618
-6.877971	-6.728251
-4.850494	-5.049840
-4.302812	-4.327996
-0.680923	-0.895073
-0.818575	-0.991337
-2.060180	-1.599349
-1.130234	-1.236782
-2.382201	-1.966718
-1.224446	-1.520736
-1.496531	-1.166196
-1.803940	-1.426084
-2.332127	-1.487047
-2.176502	-2.458207
-3.268395	-2.539313
-2.370552	-1.971239
-1.907091	-1.726924
